Item,Name,Country,Region,Style,Description,Grapes,Pair With,Avg Price USD,Vintage,Score
1,Marques de Murrieta Castillo Ygay Gran Reserva Especial,Spain,Rioja DOCa,"Red, Savory and Classic","Maturing well, this round red is a lovely example of the traditional style. Orange peel, dried cherry, forest floor, vanilla and black tea flavors mingle harmoniously over round tannins and citrusy acidity. Generous but gentle, lively, balanced and harmonious. Tempranillo and Mazuelo.",Rioja Red Blend,Lamb,195,2010,96
2,Aubert Wines UV Vineyard Pinot Noir,USA,Sonoma Coast,"Red, Savory and Classic","Powerful and structured, with minerally richness to the fine-edged red fruit and savory spice flavors. The sleek finish offers impressive purity and clarity to the notes of hot stone, flint and underbrush.",Pinot Noir,"Duck, Goose and Game Birds",247,2018,95
3,San Filippo Le Lucere,Italy,Brunello di Montalcino DOCG,"Red, Bold and Structured","Effusive aromas of black currant, blueberry, violet and iron mark this expressive red. Supple and harmonious, with a firm backbone of tannins that are refined and integrated. Shows terrific length and complexity.",Sangiovese,Beef and Venison,125,2015,97
4,Mayacamas Vineyards Cabernet Sauvignon,USA,Mount Veeder,"Red, Bold and Structured","This distinctive red throws a lot of wild sage, herb and sassafras notes out first, while the core of intense red currant, damson plum and bitter cherry fruit waits its turn. The vibrant structure is built on acidity, pulling everything together through the iron-streaked finish. Should age wonderfully.",Cabernet Sauvignon,Beef and Venison,152,2016,96
5,Domaine de la Vieille Julienne Chateauneuf-du-Pape Les Trois Sources,France,Rhone,"Red, Rich and Intense","A lush, ripe style, with açaí berry, blueberry and plum reduction notes giving this a slightly exotic bent, while singed bay leaf, worn leather and warm tar accents keep this grounded in a slightly old-school way. Displays ample heft, yet energy ripples through the finish, accompanied by lingering garrigue and tobacco echoes.",Southern Rhone Red Blend,Lamb,72,2016,96
6,Kistler Vineyards Vine Hill Chardonnay,USA,Russian River Valley,"White, Buttery and Complex","Complex, with crunchy acidity to the concentrated citrus and McIntosh apple flavors. Intense minerality shows midpalate, followed by a pure and powerful finish that lingers with dried savory herb and toasty hints.", Chardonnay,Mushrooms,177,2017,96
7,Massolino Barolo DOCG,Italy,Piedmont,"Red, Savory and Classic","A stream of pure, juicy cherry fruit is at the heart of this red, along with mineral, tobacco and wild herb notes. Firm and tightly wound, with a matrix of dense, refined tannins for support. All the elements are in the right proportions, this just needs time.",Nebbiolo,Lamb,58,2016,95
8,Bodegas Piedra Negra Chacayes,Argentina,Los Chacayes,"Red, Bold and Structured","Very elegant and rich, with concentrated kirsch, dark plum and cherry tart flavors, backed by medium-grained tannins and fresh acidity. Shows grip midpalate, leading to a finish that turns creamy and plush, primed with spicy richness and chocolate mousse accents. ",Malbec,Beef and Venison,88,2015,96
9,Beaux Freres The Beaux Freres Vineyard Pinot Noir,USA,Ribbon Ridge,"Red, Light and Perfumed","A wine of presence and expression, impeccably structured yet elegantly layered, with evocative raspberry, rose petal and brown baking spice notes that pick up richness and tension toward fine-grained tannins.",Pinot Noir,Chicken and Turkey,101,2018,95
10,Bollinger La Grande Annee Brut,France,Champange,"Sparkling, Complex and Traditional","his goes from zero to 60 right out of the gate, with an intense spine of acidity driving tightly meshed flavors of crushed black currant, ground coffee, candied grapefruit peel and toasted almond. The profile expands on the palate, carried by the fine, raw silk–like mousse. Richly aromatic and expressive from start to lasting, spiced finish. ",Chardonnay - Pinot Noir,"Shellfish, Crab and Lobster",147,2012,97
11,Castello di Volpaia Chianti Classico Riserva DOCG,Italy,Tuscany,"Red, Savory and Classic","Enticing aromas of black cherry, black currant and violet are allied to flavors of iron, wet earth and spice in this red, which is loaded with fruit, vibrant acidity and well-mannered tannins. Shows terrific harmony now, yet possesses the structure to age. The long, mouthwatering finish extends the dark fruit and mineral elements.",Sangiovese,Lamb,39,2016,97
12,Bodegas y Vinedos Valderiz,Spain,Ribera del Duero,"Red, Rich and Intense","The dense, polished texture carries rich, harmonious flavors in this elegant red. Blackberry and currant notes mingle with espresso, mineral, licorice and spice accents. Lovely floral hints emerge on the long, clean finish. Beautifully sculpted.",Tempranillo,Lamb,46,2016,96
13,Tolaini Legit Cabernet Sauvignon,Italy,Tuscany,"Red, Bold and Structured","An impressive red of breadth and depth, featuring black cherry, plum, leather, earth, iron and cedar aromas and flavors. This is solidly built and well-balanced, with finely honed tannins and lively acidity providing backbone.",Cabernet Sauvignon,Beef and Venison,41,2016,95
14,Felton Road Bannockburn Pinot Noir,New Zealand,Bannockburn,"Red, Bold and Structured","Aromatic and expressive, with raspberry, cherry and fresh herb notes that are precise on a smooth and supple frame, offering details of matcha green tea, white pepper and forest floor. A hint of fresh nutmeg lingers on the long, expressive finish, where the tannins provide a slight grip.",Pinot Noir,"Duck, Goose and Game Birds",55,2018,95
15,Duckhorn Vineyards Three Palms Vineyard Merlot,USA,Napa Valley,"Red, Rich and Intense","Powerful, rich and complex, with a refined mix of currant, dark cherry and plum tart flavors backed by suave, medium-grained tannins. Well-defined slate and loamy notes stretch out nicely on the finish, with black olive hints. ",Merlot,Lamb,105,2017,96
16,Caprili Brunello di Montalcino DOCG,Italy,Tuscany,"Red, Bold and Structured","Offering cherry, plum, iron, earth and floral aromas and flavors, this is vibrant and beautifully balanced. Well-structured, with the harmony and concentration to develop. ",Sangiovese,Beef and Venison,58,2015,95
17,Bodegas Godeval Cepas Vellas,Spain,Valdeorras,"White, Green and Flinty","Firm and shapely, this white shows power and elegance. The polished texture carries lively flavors of grapefruit, quince, tarragon and flint. Electric acidity gives this energy. Harmonious and long. ",Godello,"Shellfish, Crab and Lobster",19,2018,94
18,Hall Wines Knights Valley Sauvignon Blanc,USA,Knights Valley,"White, Green and Flinty","Stylish and memorable, this white strikes an ideal balance between richness and vibrancy, with a spicy, smoky note of palo santo and a juicy, crisp core of lemon curd, orange sherbet and dried apricot flavors. A touch of green tea lingers on the finish.",Sauvignon Blanc,Salads and Green Vegetables,30,2018,94
19,Resonance Pinot Noir,USA,Yamhill-Carlton District - Willamette Valley,"Red, Light and Perfumed","A wine with structure and presence, buoyed by a complex backbone of minerality, wrapped in refined dark cherry and black tea flavors and finishing with fine-grained tannins.",Pinot Noir,Chicken and Turkey,47,2017,93
20,Caiarossa Pergolaia Toscana IGT,Italy,Tuscany,"Red, Bold and Structured","Flavors of black cherry and blackberry stand up to the dense tannins in this fresh, deep and intense red, but this is equally about the vibrant acidity driving the fruit, wild herb nuances and spice-infused aftertaste. Sangiovese with Cabernet Franc, Cabernet Sauvignon and Merlot. ",Cabernet - Merlot - Sangiovese,Beef and Venison,30,2016,94
21,Joel Gott Wines Sauvignon Blanc,USA,California,"White, Green and Flinty","Lemon blossom, Asian pear, lime sherbet and candied orange peel notes are pure, fragrant and juicy in this silky white, with intensity and a lift of freshness on the finish from an accent of lemon verbena. ",Sauvignon Blanc,Salads and Green Vegetables,14,2019,92
22,Pierre Amadieu Gigondas Domaine Grand Romane,France,Rhone,"Red, Rich and Intense","Ripe and juicy in feel, with a wound-up core of raspberry, black currant and cherry pâte de fruit flavors waiting to stretch out, while an undercurrent of alder, tobacco and licorice root notes moves through. Will be a winner when fully knit.",Grenache - Mourvedre - Syrah,Lamb,33,2017,94
23,Allan Scott Sauvignon Blanc,New Zealand, Marlborough,"White, Green and Flinty","Supple and succulent, offering a generous and juicy mix of passion fruit, Key lime and ruby grapefruit flavors. Expressive and strong on the finish, with touches of freshly grated ginger and green tea.",Sauvignon Blanc,Goats' Cheese and Feta,14,2020,92
24,Produttori del Barbaresco Rabaja,Italy,Barbaresco Riserva DOCG,"Red, Savory and Classic","Though rich, this red offers bright acidity and dense tannins that lend a sense of tightness, with pure cherry, strawberry and floral flavors that are persistent from start to lingering finish, where distinct spice and mineral elements play out.",Nebbiolo,Lamb,69,2015,97
25,Bodegas Montecillo Reserva,Spain,Rioja DOCa,"Red, Savory and Classic","This plump red offers mulled cherry and plum flavors, with notes of cinnamon, sandalwood and cedar. Light tannins are well-integrated, while orange peel acidity keeps this fresh and focused. Harmonious and generous. Tempranillo, Mazuelo and Garnacha.",Tempranillo,Lamb,21,2013,92
26,Quivira Vineyards Fig Tree Vineyard Sauvignon Blanc,USA,Dry Creek Valley,"White, Green and Flinty","Verbena, beeswax and matcha green tea notes give way to a succulent, polished core of lemon curd, lanolin and quince flavors. Powerfully intense and focused, but the mouthwatering acidity keeps the flavors vivid, fresh and light-footed.",Sauvignon Blanc,Salads and Green Vegetables,25,2018,93
27,Concha y Toro Gravas del Maipo Cabernet Sauvignon,Chile,Puente Alto,"Red, Bold and Structured","Precise and powerful, with fleshy richness to the dark currant, cassis and black olive flavors, matched to dried savory accents. Mocha and dark chocolate details show on the long, richly spiced finish.",Cabernet Sauvignon,Beef and Venison,62,2017,95
28,Bodegas Borsao Zarihs Syrah,Spain,Campo de Borja,"Red, Rich and Intense","This red marries the ripe fruit and toasty oak of the international style with a savory, rustic character. A thick, polished texture, supported by well-integrated tannins and balsamic acidity, carries dark plum, black pepper, soy sauce and loamy earth flavors that are seamless and long.",Syrah,Lamb,21,2016,93
